Peso,Tratamiento
16.5,Nematodos
15,Nematodos
11.5,Nematodos
12,Nematodos
12.5,Nematodos
9,Nematodos
16,Nematodos
6.5,Nematodos
8,Nematodos
14.5,Nematodos
7,Nematodos
10.5,Nematodos
11,Avispas
15,Avispas
9,Avispas
9,Avispas
11.5,Avispas
11,Avispas
9,Avispas
10,Avispas
9,Avispas
8,Avispas
8,Avispas
5,Avispas
8.5,N+A
13,N+A
12,N+A
10,N+A
12.5,N+A
8.5,N+A
9.5,N+A
7,N+A
10.5,N+A
10.5,N+A
13,N+A
9,N+A
16,Bacterias
14.5,Bacterias
15,Bacterias
9,Bacterias
10.5,Bacterias
14,Bacterias
12.5,Bacterias
9,Bacterias
9,Bacterias
9,Bacterias
6.5,Bacterias
8.5,Bacterias
13,Control
10.5,Control
11,Control
10,Control
14,Control
12,Control
11,Control
9.5,Control
18.5,Control
17,Control
10,Control
11,Control
