Area,Estres,Iluminacion
264,Control,Luz baja
200,Control,Luz baja
225,Control,Luz baja
268,Control,Luz baja
215,Control,Luz baja
241,Control,Luz baja
232,Control,Luz baja
256,Control,Luz baja
229,Control,Luz baja
288,Control,Luz baja
253,Control,Luz baja
288,Control,Luz baja
230,Control,Luz baja
235,Estresado,Luz baja
188,Estresado,Luz baja
195,Estresado,Luz baja
205,Estresado,Luz baja
212,Estresado,Luz baja
214,Estresado,Luz baja
182,Estresado,Luz baja
215,Estresado,Luz baja
272,Estresado,Luz baja
163,Estresado,Luz baja
230,Estresado,Luz baja
255,Estresado,Luz baja
202,Estresado,Luz baja
314,Control,Luz alta
320,Control,Luz alta
210,Control,Luz alta
240,Control,Luz alta
299,Control,Luz alta
268,Control,Luz alta
345,Control,Luz alta
271,Control,Luz alta
285,Control,Luz alta
309,Control,Luz alta
337,Control,Luz alta
282,Control,Luz alta
273,Control,Luz alta
283,Estresado,Luz alta
312,Estresado,Luz alta
291,Estresado,Luz alta
259,Estresado,Luz alta
216,Estresado,Luz alta
201,Estresado,Luz alta
267,Estresado,Luz alta
326,Estresado,Luz alta
241,Estresado,Luz alta
291,Estresado,Luz alta
269,Estresado,Luz alta
282,Estresado,Luz alta
257,Estresado,Luz alta
