"Tiempo","Especialidad"
5.2,"Carreras"
7.4,"Carreras"
4.7,"Carreras"
6.1,"Carreras"
7.7,"Carreras"
5.4,"Carreras"
5.5,"Carreras"
5.4,"Carreras"
5.7,"Carreras"
6.1,"Carreras"
7.2,"Carreras"
5.2,"Carreras"
4.9,"Carreras"
5.8,"Carreras"
4.9,"Carreras"
5.9,"Carreras"
5.4,"Carreras"
3.8,"Carreras"
6.2,"Carreras"
5.7,"Carreras"
7.9,"Deportes"
7.9,"Deportes"
8.5,"Deportes"
7.7,"Deportes"
7.8,"Deportes"
6.7,"Deportes"
8.4,"Deportes"
8.5,"Deportes"
6.3,"Deportes"
6.1,"Deportes"
7.3,"Deportes"
8.1,"Deportes"
9.2,"Deportes"
8.2,"Deportes"
8.5,"Deportes"
8,"Deportes"
6,"Deportes"
5,"Deportes"
5.2,"Deportes"
6.9,"Deportes"
8.6,"Deportes"
6.2,"Deportes"
6.9,"Deportes"
7.4,"Peleas"
5,"Peleas"
6.1,"Peleas"
4.6,"Peleas"
5,"Peleas"
4.8,"Peleas"
5.4,"Peleas"
7,"Peleas"
5.7,"Peleas"
6.5,"Peleas"
4.9,"Peleas"
5.4,"Peleas"
4.6,"Peleas"
6.3,"Peleas"
5.4,"Peleas"
5.4,"Peleas"
5.7,"Peleas"
4.4,"Peleas"
6.4,"Peleas"
4.9,"Peleas"
6,"Peleas"
4.7,"Peleas"
5.2,"Peleas"
3.4,"Peleas"
5.2,"Peleas"
4.2,"Peleas"
5.2,"Peleas"
3.8,"Disparos"
3.8,"Disparos"
4.3,"Disparos"
4,"Disparos"
4.4,"Disparos"
3.8,"Disparos"
5,"Disparos"
4.1,"Disparos"
4.2,"Disparos"
3.4,"Disparos"
4.5,"Disparos"
2.3,"Disparos"
5,"Disparos"
4,"Disparos"
4.7,"Disparos"
3.3,"Disparos"
6.4,"Disparos"
3.5,"Disparos"
